"date","borough","coords_cbd","ridership"
2024-12-15,"Brooklyn",FALSE,NA
2024-12-15,"Brooklyn",TRUE,17436
2024-12-15,"Manhattan",FALSE,NA
2024-12-15,"Manhattan",TRUE,NA
2024-12-15,"Queens",FALSE,NA
2024-12-16,"Bronx",FALSE,261462
2024-12-16,"Brooklyn",FALSE,NA
2024-12-16,"Brooklyn",TRUE,19156
2024-12-16,"Manhattan",FALSE,NA
2024-12-16,"Manhattan",TRUE,NA
2024-12-16,"Queens",FALSE,NA
2024-12-17,"Bronx",FALSE,289430
2024-12-17,"Brooklyn",FALSE,NA
2024-12-17,"Brooklyn",TRUE,NA
2024-12-17,"Manhattan",FALSE,NA
2024-12-17,"Manhattan",TRUE,NA
2024-12-17,"Queens",FALSE,NA
2024-12-18,"Bronx",FALSE,285249
2024-12-18,"Brooklyn",FALSE,NA
2024-12-18,"Brooklyn",TRUE,22662
2024-12-18,"Manhattan",FALSE,NA
2024-12-18,"Manhattan",TRUE,NA
2024-12-18,"Queens",FALSE,NA
2024-12-19,"Bronx",FALSE,283463
2024-12-19,"Brooklyn",FALSE,NA
2024-12-19,"Brooklyn",TRUE,NA
2024-12-19,"Manhattan",FALSE,NA
2024-12-19,"Manhattan",TRUE,NA
2024-12-19,"Queens",FALSE,NA
2024-12-20,"Bronx",FALSE,267222
2024-12-20,"Brooklyn",FALSE,NA
2024-12-20,"Brooklyn",TRUE,19488
2024-12-20,"Manhattan",FALSE,NA
2024-12-20,"Manhattan",TRUE,NA
2024-12-20,"Queens",FALSE,NA
2024-12-21,"Bronx",FALSE,146311
2024-12-21,"Brooklyn",FALSE,NA
2024-12-21,"Brooklyn",TRUE,18981
2024-12-21,"Manhattan",FALSE,NA
2024-12-21,"Manhattan",TRUE,NA
2024-12-21,"Queens",FALSE,NA
2024-12-22,"Bronx",FALSE,112717
2024-12-22,"Brooklyn",FALSE,NA
2024-12-22,"Brooklyn",TRUE,15154
2024-12-22,"Manhattan",FALSE,NA
2024-12-22,"Manhattan",TRUE,NA
2024-12-22,"Queens",FALSE,NA
2024-12-23,"Bronx",FALSE,213493
2024-12-23,"Brooklyn",FALSE,NA
2024-12-23,"Brooklyn",TRUE,17333
2024-12-23,"Manhattan",FALSE,NA
2024-12-23,"Manhattan",TRUE,NA
2024-12-23,"Queens",FALSE,NA
2024-12-24,"Bronx",FALSE,179881
2024-12-24,"Brooklyn",FALSE,NA
2024-12-24,"Brooklyn",TRUE,14242
2024-12-24,"Manhattan",FALSE,NA
2024-12-24,"Manhattan",TRUE,NA
2024-12-24,"Queens",FALSE,NA
2024-12-25,"Bronx",FALSE,86492
2024-12-25,"Brooklyn",FALSE,251293
2024-12-25,"Brooklyn",TRUE,14647
2024-12-25,"Manhattan",FALSE,NA
2024-12-25,"Manhattan",TRUE,NA
2024-12-25,"Queens",FALSE,NA
2024-12-26,"Bronx",FALSE,196857
2024-12-26,"Brooklyn",FALSE,NA
2024-12-26,"Brooklyn",TRUE,18247
2024-12-26,"Manhattan",FALSE,NA
2024-12-26,"Manhattan",TRUE,NA
2024-12-26,"Queens",FALSE,NA
2024-12-27,"Bronx",FALSE,211075
2024-12-27,"Brooklyn",FALSE,NA
2024-12-27,"Brooklyn",TRUE,NA
2024-12-27,"Manhattan",FALSE,NA
2024-12-27,"Manhattan",TRUE,NA
2024-12-27,"Queens",FALSE,NA
2024-12-28,"Bronx",FALSE,NA
2024-12-28,"Brooklyn",FALSE,NA
2024-12-28,"Brooklyn",TRUE,15488
2024-12-28,"Manhattan",FALSE,NA
2024-12-28,"Manhattan",TRUE,NA
2024-12-28,"Queens",FALSE,NA
2024-12-29,"Bronx",FALSE,112523
2024-12-29,"Brooklyn",FALSE,NA
2024-12-29,"Brooklyn",TRUE,18860
2024-12-29,"Manhattan",FALSE,NA
2024-12-29,"Manhattan",TRUE,NA
2024-12-29,"Queens",FALSE,NA
2024-12-30,"Bronx",FALSE,216207
2024-12-30,"Brooklyn",FALSE,NA
2024-12-30,"Brooklyn",TRUE,NA
2024-12-30,"Manhattan",FALSE,NA
2024-12-30,"Manhattan",TRUE,NA
2024-12-30,"Queens",FALSE,NA
2024-12-31,"Bronx",FALSE,194341
2024-12-31,"Brooklyn",FALSE,NA
2024-12-31,"Brooklyn",TRUE,19623
2024-12-31,"Manhattan",FALSE,NA
2024-12-31,"Manhattan",TRUE,NA
2024-12-31,"Queens",FALSE,NA
2025-01-01,"Bronx",FALSE,88969
2025-01-01,"Brooklyn",FALSE,NA
2025-01-01,"Brooklyn",TRUE,17669
2025-01-01,"Manhattan",FALSE,NA
2025-01-01,"Manhattan",TRUE,NA
2025-01-01,"Queens",FALSE,NA
2025-01-02,"Bronx",FALSE,202875
2025-01-02,"Brooklyn",FALSE,NA
2025-01-02,"Brooklyn",TRUE,20213
2025-01-02,"Manhattan",FALSE,NA
2025-01-02,"Manhattan",TRUE,NA
2025-01-02,"Queens",FALSE,NA
2025-01-03,"Bronx",FALSE,207011
2025-01-03,"Brooklyn",FALSE,NA
2025-01-03,"Brooklyn",TRUE,NA
2025-01-03,"Manhattan",FALSE,NA
2025-01-03,"Manhattan",TRUE,NA
2025-01-03,"Queens",FALSE,NA
2025-01-04,"Bronx",FALSE,124698
2025-01-04,"Brooklyn",FALSE,NA
2025-01-04,"Brooklyn",TRUE,16697
2025-01-04,"Manhattan",FALSE,NA
2025-01-04,"Manhattan",TRUE,NA
2025-01-04,"Queens",FALSE,NA
2025-01-05,"Bronx",FALSE,98122
2025-01-05,"Brooklyn",FALSE,NA
2025-01-05,"Brooklyn",TRUE,12376
2025-01-05,"Manhattan",FALSE,NA
2025-01-05,"Manhattan",TRUE,NA
2025-01-05,"Queens",FALSE,NA
2025-01-06,"Bronx",FALSE,211925
2025-01-06,"Brooklyn",FALSE,NA
2025-01-06,"Brooklyn",TRUE,16067
2025-01-06,"Manhattan",FALSE,NA
2025-01-06,"Manhattan",TRUE,NA
2025-01-06,"Queens",FALSE,NA
2025-01-07,"Bronx",FALSE,217686
2025-01-07,"Brooklyn",FALSE,NA
2025-01-07,"Brooklyn",TRUE,NA
2025-01-07,"Manhattan",FALSE,NA
2025-01-07,"Manhattan",TRUE,NA
2025-01-07,"Queens",FALSE,NA
2025-01-08,"Bronx",FALSE,219209
2025-01-08,"Brooklyn",FALSE,NA
2025-01-08,"Brooklyn",TRUE,NA
2025-01-08,"Manhattan",FALSE,NA
2025-01-08,"Manhattan",TRUE,NA
2025-01-08,"Queens",FALSE,NA
2025-01-09,"Bronx",FALSE,215477
