"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-06","0.06","0.5","0.0","24",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-07","0.00","0.0","0.0","20",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-08","0.00","0.0","0.0","24",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-09","0.00","0.0","0.0","24",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-10","0.00","0.0","0.0","29",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-11","0.03","0.4","0.0","30",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-12","0.00","0.0","0.0","31",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-13","0.00","0.0","0.0","30",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-14","0.00","0.0","0.0","28",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-15","0.00","0.0","0.0","25",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-16","0.00","0.0","0.0","25",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-17","0.00","0.0","0.0","27",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-18","0.17","0.0","0.0","35",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-19","0.24","1.6","0.0","29",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-20","0.00","0.0","2.0","19",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-21","0.00","0.0","1.2","14",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-22","0.00","0.0","1.2","13",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-23","0.00","0.0","1.2","16",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-01-24","0.00","0.0","1.2","20",,,,,,
