"","date","ridership","min_temp","snow","snow_d","rain"
"352",2025-05-18,969,63,0,0,0
"353",2025-05-19,3038,53,0,0,0
"354",2025-05-20,3353,50,0,0,0
"355",2025-05-21,3282,50,0,0,0.13
"356",2025-05-22,3116,49,0,0,0.87
"357",2025-05-23,2872,48,0,0,0.05
"358",2025-05-24,1296,51,0,0,0
"359",2025-05-25,1043,54,0,0,0
"360",2025-05-26,662,54,0,0,0
"361",2025-05-27,3016,54,0,0,0
"362",2025-05-28,3186,55,0,0,0.15
"363",2025-05-29,3108,57,0,0,0.12
"364",2025-05-30,2927,58,0,0,0.06
"365",2025-05-31,1273,55,0,0,0.42
"366",2025-06-01,962,52,0,0,0
"367",2025-06-02,3085,52,0,0,0
"368",2025-06-03,3317,54,0,0,0
"369",2025-06-04,3234,59,0,0,0
"370",2025-06-05,3137,64,0,0,0
"371",2025-06-06,2877,68,0,0,0
"372",2025-06-07,1231,66,0,0,0.33
"373",2025-06-08,1037,63,0,0,0.01
"374",2025-06-09,3069,62,0,0,0.05
"375",2025-06-10,3209,63,0,0,0.15
"376",2025-06-11,3225,65,0,0,0
"377",2025-06-12,3235,67,0,0,0
"378",2025-06-13,2850,66,0,0,0
"379",2025-06-14,1323,60,0,0,1
"380",2025-06-15,941,59,0,0,0.07
"381",2025-06-16,3016,61,0,0,0
"382",2025-06-17,3175,64,0,0,0.06
"383",2025-06-18,3178,65,0,0,0.27
"384",2025-06-19,2207,68,0,0,0.29
"385",2025-06-20,2986,69,0,0,0
"386",2025-06-21,1432,70,0,0,0
"387",2025-06-22,979,72,0,0,0.08
"388",2025-06-23,2716,75,0,0,0
"389",2025-06-24,2608,76,0,0,0
"390",2025-06-25,3117,81,0,0,0.06
"391",2025-06-26,2985,68,0,0,0.08
"392",2025-06-27,2534,64,0,0,0
"393",2025-06-28,1356,64,0,0,0.08
"394",2025-06-29,972,74,0,0,0
"395",2025-06-30,2560,71,0,0,0.03
"396",2025-07-01,2588,74,0,0,0.38
"397",2025-07-02,2644,73,0,0,0.01
"398",2025-07-03,2542,72,0,0,0
"399",2025-07-04,1120,68,0,0,0
"400",2025-07-05,1196,67,0,0,0
"401",2025-07-06,997,71,0,0,0
"402",2025-07-07,2625,75,0,0,0.01
"403",2025-07-08,2715,75,0,0,0.26
"404",2025-07-09,2905,75,0,0,0.06
"405",2025-07-10,2801,73,0,0,0.06
"406",2025-07-11,2582,72,0,0,0
"407",2025-07-12,1378,72,0,0,0
"408",2025-07-13,931,72,0,0,0.02
"409",2025-07-14,2603,74,0,0,1.02
"410",2025-07-15,2805,74,0,0,0.35
"411",2025-07-16,2765,77,0,0,0
"412",2025-07-17,2763,78,0,0,0
"413",2025-07-18,2588,75,0,0,0
"414",2025-07-19,1314,70,0,0,0.03
"415",2025-07-20,969,75,0,0,0.16
"416",2025-07-21,2655,72,0,0,0
"417",2025-07-22,2793,68,0,0,0
"418",2025-07-23,2756,66,0,0,0
"419",2025-07-24,2831,70,0,0,0
"420",2025-07-25,2491,74,0,0,0.12
"421",2025-07-26,2,75,0,0,0
"422",2025-07-27,2,72,0,0,0.01
"423",2025-07-28,2412,73,0,0,0
"424",2025-07-29,2675,75,0,0,0
"425",2025-07-30,2512,80,0,0,0
"426",2025-07-31,2480,67,0,0,0.64
"427",2025-08-01,2378,65,0,0,0
"428",2025-08-02,1214,62,0,0,0
"429",2025-08-03,959,63,0,0,0
"430",2025-08-04,2561,66,0,0,0
"431",2025-08-05,2711,68,0,0,0
