"date","borough","ridership"
2024-11-15,"Queens",211597
2024-11-18,"Bronx",118125
2024-11-18,"Brooklyn",338761
2024-11-18,"Manhattan",371543
2024-11-18,"Queens",217221
2024-11-19,"Bronx",123865
2024-11-19,"Brooklyn",355887
2024-11-19,"Manhattan",390877
2024-11-19,"Queens",227618
2024-11-20,"Bronx",119515
2024-11-20,"Brooklyn",358896
2024-11-20,"Manhattan",390568
2024-11-20,"Queens",225315
2024-11-21,"Bronx",115496
2024-11-21,"Brooklyn",346874
2024-11-21,"Manhattan",383398
2024-11-21,"Queens",220969
2024-11-22,"Bronx",107347
2024-11-22,"Brooklyn",319092
2024-11-22,"Manhattan",371499
2024-11-22,"Queens",213861
2024-11-25,"Bronx",114616
2024-11-25,"Brooklyn",330892
2024-11-25,"Manhattan",378996
2024-11-25,"Queens",214957
2024-11-26,"Bronx",112560
2024-11-26,"Brooklyn",332906
2024-11-26,"Manhattan",383503
2024-11-26,"Queens",215476
2024-11-27,"Bronx",105353
2024-11-27,"Brooklyn",296056
2024-11-27,"Manhattan",351186
2024-11-27,"Queens",211855
2024-11-28,"Bronx",30233
2024-11-28,"Brooklyn",86418
2024-11-28,"Manhattan",173007
2024-11-28,"Queens",70201
2024-11-29,"Bronx",59259
2024-11-29,"Brooklyn",165374
2024-11-29,"Manhattan",217054
2024-11-29,"Queens",127619
2024-12-02,"Bronx",112270
2024-12-02,"Brooklyn",327369
2024-12-02,"Manhattan",367212
2024-12-02,"Queens",213473
2024-12-03,"Bronx",120232
2024-12-03,"Brooklyn",349942
2024-12-03,"Manhattan",386493
2024-12-03,"Queens",222439
2024-12-04,"Bronx",119801
2024-12-04,"Brooklyn",356788
2024-12-04,"Manhattan",393484
2024-12-04,"Queens",224714
2024-12-05,"Bronx",117543
2024-12-05,"Brooklyn",350088
2024-12-05,"Manhattan",391311
2024-12-05,"Queens",222074
2024-12-06,"Bronx",108326
2024-12-06,"Brooklyn",317944
2024-12-06,"Manhattan",378654
2024-12-06,"Queens",213648
2024-12-09,"Bronx",115673
2024-12-09,"Brooklyn",337644
2024-12-09,"Manhattan",376373
2024-12-09,"Queens",213330
2024-12-10,"Bronx",119645
2024-12-10,"Brooklyn",354267
2024-12-10,"Manhattan",391337
2024-12-10,"Queens",224223
2024-12-11,"Bronx",115618
2024-12-11,"Brooklyn",347535
2024-12-11,"Manhattan",381260
2024-12-11,"Queens",221580
2024-12-12,"Bronx",118834
2024-12-12,"Brooklyn",353699
2024-12-12,"Manhattan",394834
